scenario,test,fitness,result_file,generations,final_avg_sheep_fitness,final_50_mean_avg_sheep_fitness,best_avg_sheep_fitness,final_avg_wolf_fitness,final_50_mean_avg_wolf_fitness,best_avg_wolf_fitness,final_survival_rate,final_50_mean_survival_rate,best_survival_rate,final_grass_per_sheep,final_50_mean_grass_per_sheep,best_grass_per_sheep,final_protected_time_fraction,final_50_mean_protected_time_fraction,best_protected_time_fraction,final_protected_alive_fraction_end,final_50_mean_protected_alive_fraction_end,best_protected_alive_fraction_end,final_mean_alive_cluster_size_end,final_50_mean_mean_alive_cluster_size_end,best_mean_alive_cluster_size_end,final_largest_alive_cluster_size_end,final_50_mean_largest_alive_cluster_size_end,best_largest_alive_cluster_size_end,final_wolf_kills,final_50_mean_wolf_kills,best_wolf_kills,final_objective_survival_foraging_score,final_50_mean_objective_survival_foraging_score,best_objective_survival_foraging_score,final_objective_cluster_survival_score,final_50_mean_objective_cluster_survival_score,best_objective_cluster_survival_score
test_1_no_cluster_fear_wolf_seen,test_1,current,test_1_no_cluster_fear_wolf_seen__fit_current.csv,300,77.1357962763264,102.95167671532839,145.41975522113646,28.01,14.93,48.010000000000005,0.4166666666666667,0.6891666666666666,1.0,9.625,9.745,12.25,0.18583333333333332,0.27548833333333334,0.527,0.4,0.2924516661902582,0.6363636363636364,2.2,2.2069468701905777,6.7,4.0,3.9,11.0,14.0,7.46,24.0,4.010416666666667,6.860173611111111,11.75,0.07743055555555556,0.20187993055555556,0.5050416666666667
test_1_no_cluster_fear_wolf_seen,test_1,strong_survival,test_1_no_cluster_fear_wolf_seen__fit_strong_survival.csv,300,156.95421928672923,106.91122637384561,177.799403611423,6.01,17.65,32.010000000000005,0.875,0.6325,1.0,10.333333333333334,8.095,11.5,0.25016666666666665,0.212265,0.5004166666666666,0.0,0.20518036693268893,0.7777777777777778,1.5714285714285714,1.8781044205192812,6.894736842105263,2.0,3.08,11.0,3.0,8.82,16.0,9.041666666666668,5.2070486111111105,11.125,0.21889583333333332,0.13869895833333337,0.5004166666666666
test_1_no_cluster_fear_wolf_seen,test_1,survival_bonus,test_1_no_cluster_fear_wolf_seen__fit_survival_bonus.csv,300,102.26994013803336,92.53409577641023,162.6853412218911,30.009999999999998,27.49,48.01,0.375,0.42749999999999994,0.8333333333333334,9.291666666666666,8.696666666666665,12.375,0.07841666666666666,0.15282166666666666,0.32466666666666666,0.0,0.11732780815675552,0.7777777777777778,1.2222222222222223,1.521712129975288,3.857142857142857,2.0,2.32,5.0,15.0,13.74,24.0,3.484375,3.846840277777778,9.796875,0.02940625,0.07121840277777779,0.25702777777777774
test_2_cluster_no_fear,test_2,current,test_2_cluster_no_fear__fit_current.csv,300,145.27862076362766,101.36237941575511,162.38046699856832,8.01,23.37,46.01,0.8333333333333334,0.5133333333333333,0.8333333333333334,12.75,10.799166666666665,15.25,0.11808333333333333,0.08069000000000001,0.231,0.3,0.06103368561263297,0.7142857142857143,1.8,1.2751793031529872,3.857142857142857,3.0,1.94,5.0,4.0,11.68,23.0,10.625,5.727465277777778,11.319444444444445,0.09840277777777778,0.043533749999999996,0.16090624999999997
test_2_cluster_no_fear,test_2,strong_survival,test_2_cluster_no_fear__fit_strong_survival.csv,300,17.903717553841286,24.719613115592797,164.94256610060324,36.01,38.25,48.010000000000005,0.25,0.20333333333333337,0.7916666666666666,1.6666666666666667,3.454166666666666,13.166666666666666,0.23075,0.22816833333333336,0.45866666666666667,0.5,0.27730819180819183,1.0,2.0,1.7822031302031303,7.222222222222222,3.0,2.26,8.0,18.0,19.12,24.0,0.4166666666666667,0.7002430555555554,10.42361111111111,0.0576875,0.054243194444444455,0.3246875
test_2_cluster_no_fear,test_2,survival_bonus,test_2_cluster_no_fear__fit_survival_bonus.csv,300,207.67108085220738,158.41567393434008,218.13530972924752,2.01,9.21,32.01,0.9583333333333334,0.8083333333333335,1.0,13.791666666666666,11.115,15.5,0.35058333333333336,0.2755516666666667,0.47433333333333333,0.34782608695652173,0.2928547323512999,0.8571428571428571,2.4782608695652173,2.1356471865356643,4.578947368421052,5.0,3.84,8.0,1.0,4.6,16.0,13.21701388888889,9.043854166666668,13.5625,0.3359756944444445,0.2258857638888889,0.3952777777777778
test_3_cluster_fear_wolf_seen,test_3,current,test_3_cluster_fear_wolf_seen__fit_current.csv,300,74.61487678244326,30.829068616549534,75.52204918853508,32.01,43.17000000000001,48.010000000000005,0.3333333333333333,0.10083333333333332,0.8333333333333334,10.333333333333334,6.8566666666666665,10.375,0.05433333333333333,0.056459999999999996,0.321,0.0,0.02,1.0,1.25,0.8373809523809524,3.4444444444444446,2.0,0.88,5.0,16.0,21.58,24.0,3.4444444444444446,0.7708333333333333,3.890625,0.01811111111111111,0.006423611111111111,0.2675
test_3_cluster_fear_wolf_seen,test_3,strong_survival,test_3_cluster_fear_wolf_seen__fit_strong_survival.csv,300,171.40135979638504,103.39012452257194,171.40135979638504,8.01,22.69,42.01,0.8333333333333334,0.5275,0.9166666666666666,12.416666666666666,9.5675,12.875,0.11125,0.1325033333333333,0.31283333333333335,0.4,0.11168853729689643,0.6666666666666666,2.3,1.5051311815119863,4.2,4.0,2.46,7.0,4.0,11.34,21.0,10.347222222222221,5.186076388888889,10.347222222222221,0.09270833333333334,0.07315048611111111,0.23054166666666664
test_3_cluster_fear_wolf_seen,test_3,survival_bonus,test_3_cluster_fear_wolf_seen__fit_survival_bonus.csv,300,92.56587289918055,54.6700777049919,212.78768376736718,30.009999999999998,37.69,48.01,0.375,0.21499999999999997,0.9166666666666666,9.166666666666666,7.539166666666667,16.083333333333332,0.23216666666666666,0.116325,0.41241666666666665,0.0,0.056333333333333326,0.75,1.4444444444444444,1.2476507936507937,4.2,2.0,1.58,6.0,15.0,18.84,24.0,3.4375,1.7422569444444447,12.0625,0.0870625,0.027736875000000005,0.2921284722222222
test_4_cluster_fear_unsafe,test_4,current,test_4_cluster_fear_unsafe__fit_current.csv,300,107.14646651818111,87.4234054713524,130.2011624039678,10.01,17.13,46.01,0.7916666666666666,0.6433333333333333,0.9166666666666666,9.75,8.75,11.0,0.2856666666666667,0.20046333333333333,0.697,0.2631578947368421,0.17687574439664225,0.9444444444444444,2.3684210526315788,1.7213485984259975,7.222222222222222,5.0,2.94,8.0,5.0,8.56,23.0,7.71875,5.670833333333333,9.0625,0.22615277777777779,0.1344848611111111,0.5808333333333333
test_4_cluster_fear_unsafe,test_4,strong_survival,test_4_cluster_fear_unsafe__fit_strong_survival.csv,300,99.69522755448934,109.10908105662268,170.95801858004776,16.01,15.65,36.01,0.6666666666666666,0.6741666666666666,0.9583333333333334,6.458333333333333,7.712499999999999,13.166666666666666,0.33341666666666664,0.28962333333333334,0.48891666666666667,0.3125,0.297149487595308,0.8571428571428571,2.625,2.1547550742358252,4.5,5.0,3.78,8.0,8.0,7.82,18.0,4.305555555555555,5.261666666666667,10.729166666666668,0.22227777777777774,0.19940875000000002,0.39611111111111114
test_4_cluster_fear_unsafe,test_4,survival_bonus,test_4_cluster_fear_unsafe__fit_survival_bonus.csv,300,31.06627264630383,77.2310482120729,170.45420853779308,38.01,24.29,48.010000000000005,0.20833333333333334,0.4941666666666666,0.9583333333333334,4.583333333333333,6.56,11.041666666666666,0.10975,0.22700833333333337,0.6624166666666667,0.0,0.22248001998001996,0.875,1.0,1.7911255770373415,5.25,1.0,2.9,8.0,19.0,12.14,24.0,0.954861111111111,3.275798611111111,10.581597222222221,0.022864583333333334,0.11900368055555553,0.44161111111111107
test_5_cluster_fear_wolf_and_unsafe,test_5,current,test_5_cluster_fear_wolf_and_unsafe__fit_current.csv,300,74.36056679667864,78.28087066900757,144.81783146648345,32.01,31.25,48.010000000000005,0.3333333333333333,0.3491666666666666,0.7916666666666666,9.333333333333334,9.952499999999999,14.5,0.057916666666666665,0.09785166666666667,0.2895,0.0,0.03946536796536796,0.6,1.0,1.2767108447108446,2.4285714285714284,1.0,1.82,4.0,16.0,15.62,24.0,3.111111111111111,3.5384722222222225,9.666666666666666,0.019305555555555555,0.036308541666666666,0.168875
